#,title,author,category,read?,audio?,language,# Pages,Location,Audible,Chicago?,Cincinnati?,Boston?,Milton?,Date Bought,Date Read,Time on TBR (days),Time on TBR (years),
1,Boxers,Gene Luen Yang,Historical Fiction,No,No,English,325,Boston,No,!,Yes,Yes,No,"December 3, 2022",N/A,N/A,N/A,
,All That Remains,Sue Black,Death,No,Yes,English,342,Chicago,Yes,!,Yes,Yes,No,"February 1, 2022",N/A,N/A,N/A,
,The Mexican Revolution,Adolfo Gilly,South American History,No,No,English,416,Chicago,No,No,No,No,No,"October 15, 2020",N/A,N/A,N/A,
1,The Black Tides Of Heaven,Neon Yang,Gay Fantasy,Yes,Yes,English,236,Chicago,Yes!,Yes,Yes,Yes,!,"March 3, 2022","May 13, 2022",71,0.1945205479,
2,Persepolis The Story Of A Return,Marjane Satrapi,Gender Studies,Yes,No,English,187,Chicago,No,!,Yes,Yes,No,"January 1, 2012","January 1, 2012",0,0,
3,The Night Masquerade,Nnedi Okorafor,Science Fiction,No,Yes,English,203,Boston,Yes,Rec,Yes,Yes,Yes,"April 20, 2023",M/A,N/A,N/A,
,This Land Was Theris,Wendell H. Oswalt,Textbook,Yes,No,English,485,Chicago,No,No,No,No,No,"February 1, 2019","February 1, 2019",0,0,
2,The Year Of The Flood,Margaret Atwood,Science Fiction,Yes,Yes,English,431,Chicago,Yes,Yes,Rec,Yes,!,"June 18, 2022","July 16, 2022",28,0.07671232877,
,Nettle And Bone,T. Kingfisher,Fantasy,Yes,Yes,English,240,Boston,Yes,Rec,Yes,Yes,Yes,"February 26, 2023","October 28, 2023",244,0.6684931507,
2,Stars Of Chaos Vol 2,Priest,Danmei,No,No,English,377,Boston,No,No,No,No,No,"January 15, 2024",N/A,N/A,N/A,
1,The Sun And The Void,Gabriela Romero Lacruz,Gay Fantasy,No,Yes,English,533,Boston,Yes,Rec,Yes,Yes,Rec,"December 14, 2023",N/A,N/A,N/A,
,10 Minutes 38 Seconds In This Strange World,Elif Shafak,Fiction,No,Yes,English,306,Boston,Yes,Rec,Rec,Yes,Rec,"October 29, 2022",N/A,N/A,N/A,
,A History Of God,Karen Armstrong,Religion,No,No,English,399,Chicago,No,!,Yes,Yes,No,"July 1, 2019",N/A,N/A,N/A,
,Forbidden Throne,Jennifer Laslie,Gay Fantasy,No,No,English,97,Boston,No,!,Yes,Yes,No,"February 15, 2023",N/A,N/A,N/A,
,The 1619 Project,Nikole Hannah-Jones,Race Relations,No,Yes,English,480,Boston,Yes,Yes,Yes,Yes,Yes,"November 25, 2021",N/A,N/A,N/A,
2,1493,Charels C. Mann,Native Americans,Yes,Yes,English,521,Boston,Yes,Yes,Yes,Yes,Yes,"May 5, 2021","April 25, 2023",720,1.97260274,
,Dark And Deepest Red,Anna-Marie McLemore,Gay Fantasy,No,Yes,English,299,Boston,Yes,Rec,Rec,Yes,Yes,"October 21, 2023",N/A,N/A,N/A,
,Limerence ,Jiang Zi Bei,Danmei,No,No,English,369,Boston,No,No,No,No,No,"December 28, 2023",N/A,N/A,N/A,
1,The Scum Villain's Self-Saving System Vol 1,Mo Xiang Tong Xiu,Danmei,Yes,No,English,291,Boston,No,No,No,No,No,"December 14, 2021","February 6, 2022",54,0.1479452055,
,The Children's Blizzard,David Laskin,History,No,Yes,English,271,Boston,Yes,Rec,Yes,!,!,"November 9, 2021",N/A,N/A,N/A,
1,The Jasmine Throne,Tasha Suri,Gay Fantasy,Yes,Yes,English,533,Boston,Yes,Yes,Yes,Yes,Rec,"May 23, 2022","May 18, 2023",360,0.9863013699,
,The Search For Eve,Micheal H. Brown,Science,No,No,English,318,Chicago,No,No,No,No,No,"October 17, 2019",N/A,N/A,N/A,
1,Six Crimson Cranes,Elizabeth Lim,Fantasy,Yes,Yes,English,454,Boston,Yes,Yes,Yes,Yes,Yes,"April 7, 2022","October 10, 2022",186,0.5095890411,
,The Day Lincoln Was Shot,Jim Bishop,Civil War,No,Yes,English,304,Chicago,Yes,Rec,Yes,Yes,Rec,"July 28, 2022",N/A,N/A,N/A,
,Wuthering Heights,Emily Bronte,Classic,No,Yes,English,334,Boston,Yes,Rec,Yes,Yes,Yes,"October 15, 2020",N/A,N/A,N/A,
,Agua Viva,Clarice Lespector,Classic,No,Yes,English,88,Boston,Yes,!,Yes,Yes,No,"May 4, 2023",N/A,N/A,N/A,
,The Vanishing Half,Brit Bennet,Gay Fiction,Yes,Yes,English,343,Chicago,Yes,Yes,Yes,Yes,Yes,"February 20, 2021","March 28, 2021",36,0.09863013699,
1,Song Of Silver Flame Like Night,Amélie Wen Zhao,Fantasy,Yes,Yes,English,455,Boston,Yes,Rec,Yes,Yes,Yes,"January 5, 2023","August 4, 2023",211,0.5780821918,
,Macbeth,William Shakespeare,Play,Yes,Yes,English,191,Chicago,Yes,Rec,Yes,Yes,Yes,"July 30, 2022","July 30, 2022",0,0,No
11,Prince Lestat,Anne Rice,Fantasy,No,Yes,English,451,Chicago,Yes,Yes,Yes,Yes,Yes,"November 15, 2020",N/A,N/A,N/A,
5,Tales From Earthsea,Ursula K. Le Guin,Fantasy,No,Yes,English,280,Boston,Yes,Yes,Yes,Yes,Yes,"June 1, 2021",N/A,N/A,N/A,
,How It All Blew Up,Arvin Ahmadi,Gay Fiction,Yes,Yes,English,304,Chicago,Yes,Yes,Yes,Yes,Yes,"December 25, 2020","July 5, 2021",192,0.5260273973,
1,The Priory Of The Orange Tree,Samantha Shannon,Gay Fantasy,Yes,Yes,English,804,Boston,Yes!,No,No,No,No,"October 30, 2022","December 10, 2023",406,1.112328767,
,The Royal Palace Madrid,Jean-Francois Lasnier,Travel,No,No,English,62,Chicago,No,No,No,No,No,"July 20, 2015",N/A,N/A,N/A,
2,When The Tiger Came Down The Mountain,Nghi Vo,Gay Fantasy,No,Yes,English,122,Boston,Yes,Rec,Yes,Yes,Yes,"January 16, 2023",N/A,N/A,N/A,
,Room,Emma Donoghue,Fiction,No,Yes,English,321,Boston,Yes,Yes,Yes,Yes,Yes,"March 9, 2022",N/A,N/A,N/A,
,The Adventures of Tom Sawyer,Mark Twain,Classic,Yes,Yes,English,206,Chicago,Yes,Yes,Yes,Yes,Yes,"April 25, 2020","April 25, 2020",0,0,
,Native Son,Richard Wright,Classic,Yes,Yes,English,504,Chicago,Yes,Rec,Yes,Yes,!,"October 15, 2020","February 28, 2022",501,1.37260274,
,Ander And Santi Were Here,Jonny Garza Villa,Gay Fiction,Yes,Yes,English,351,Boston,Yes,Rec,Yes,Yes,Yes,"June 22, 2023","July 10, 2023",18,0.04931506849,
,The Color Of Law,Richard Rothstein,Race Relations,No,Yes,English,217,Boston,Yes!,Rec,Yes,Yes,Yes,"April 30, 2022",N/A,N/A,N/A,
,Empress Dowager Cixi,Jung Chang,China,Yes,Yes,English,436,Chicago,Yes,Rec,Yes,Yes,!,"January 4, 2021","May 31, 2021",147,0.402739726,
1,Gideon The Ninth,Tamsyn Muir,Gay Fantasy,Yes,Yes,English,448,Boston,Yes,Yes,Yes,Yes,Yes,"October 1, 2020","October 1, 2020",0,0,
1,An Absolutely Remarkable Thing,Hank Green,Gay Science Fiction,Yes,Yes,English,338,Boston,Yes,Yes,Yes,Yes,Yes,"December 29, 2023","January 4, 2024",6,0.01643835616,
,How High We Go In The Dark,Sequonia Nagamatsu,Science Fiction,No,Yes,English,287,Boston,Yes,Yes,Yes,Yes,Yes,"November 21, 2023",N/A,N/A,N/A,
,The Borgias,G.J. Meyer,Biography,Yes,Yes,English,431,Boston,Yes,Rec,Yes,Yes,!,"October 17, 2019","December 16, 2022",1156,3.167123288,
7,Merrick,Anne Rice,Fantasy,No,Yes,English,370,Chicago,Yes,!,Yes,Yes,No,"November 15, 2020",N/A,N/A,N/A,
,The First Cell,Azra Raza,Science,No,Yes,English,290,Boston,Yes,Rec,Yes,Yes,!,"December 8, 2022",N/A,N/A,N/A,
,Other Ever Afters,Melsnie Gillman,Gay Fantasy,Yes,No,English,230,Boston,No,!,Yes,Yes,No,"November 5, 2022","November 6, 2022",1,0.002739726027,
2,Scarlet,Marissa Meyer,Fantasy,Yes,Yes,English,454,Chicago,Yes,Yes,Yes,Yes,Yes,"March 23, 2021","March 23, 2021",0,0,
,The System,Robert Reich,Modern History,Yes,Yes,English,197,Boston,Yes,Rec,Yes,Yes,Yes,"June 18, 2022","September 27, 2022",101,0.2767123288,
,Wicked The Grimmerie,David Cote,Theatre,Yes,No,English,189,Chicago,No,No,No,No,No,"October 18, 2010","October 18, 2010",0,0,
,The History Of The Original Peoples Of Northern Canada,Keith J. Crowe,Native Americans,Yes,No,English,264,Chicago,No,No,No,No,No,"October 15, 2020","December 21, 2020",67,0.1835616438,
,Gone With The Wind,Margaret Mitchell,Classic,No,Yes,English,1024,Boston,Yes,Rec,Yes,Yes,Yes,"October 17, 2019",N/A,N/A,N/A,
,My Dear Henry,Kalynn Bayron,Gay Fiction,No,Yes,English,259,Boston,Yes,Rec,Yes,Yes,Yes,"June 11, 2023",N/A,N/A,N/A,
4,What Souls Are Made Of,Tasha Suri,Historical Fiction,No,Yes,English,287,Boston,Yes,Rec,Yes,Yes,Rec,"December 17, 2023",N/A,N/A,N/A,
3,The Grandmaster Of Demonic Cultivation Vol 3,Mo Xiang Tong Xiu,Danmei,Yes,No,English,321,Boston,No,No,No,No,No,"August 29, 2022","August 29, 2022",0,0,No
,The Phantom Of The Opera,Gaston Leroux,Classic,No,Yes,English,270,Chicago,Yes,Rec,Yes,Yes,Yes,"July 28, 2022",N/A,N/A,N/A,
,Grant,Ron Chernow,American History,Yes,Yes,English,959,Chicago,Yes,Yes,Yes,Yes,Yes,"October 17, 2019",,-43755,-119.8767123,
,Avatar: The Lost Adventures,Michael DiMartino & Bryan Konietzko,TV and movie,Yes,No,English,226,Chicago,No,!,Yes,Yes,No,"January 1, 2016","March 26, 2021",1911,5.235616438,
,The Chosen And The Beautiful,Nghi Vo,Gay Fantasy,Yes,Yes,English,260,Boston,Yes,Rec,Yes,Yes,Yes,"May 31, 2022","April 6, 2023",310,0.8493150685,
4,Lore Olympus Vol 4,Rachel Smythe,Fantasy,Yes,No,English,416,Boston,No,!,Yes,Yes,No,"June 5, 2023","June 11, 2023",6,0.01643835616,
,Midnight In Chernobyl,Adam Higginbotham,History,Yes,Yes,English,372,Chicago,Yes,Yes,Yes,Yes,Yes,"February 10, 2020","March 4, 2020",23,0.06301369863,
3,Death's End,Cixin Liu,Science Fiction,No,Yes,English,602,Boston,Yes,Yes,Yes,Yes,Yes,"July 1, 2023",N/A,N/A,N/A,
,The Weaker Vessel,Antonia Fraser,Gender Studies,No,No,English,470,Chicago,No,No,No,No,No,"July 20, 2015",N/A,N/A,N/A,
1,Persepolis The Story Of A Childhood,Marjane Satrapi,Gender Studies,Yes,No,English,153,Chicago,No,!,Yes,Yes,No,"January 1, 2012","January 1, 2012",0,0,
1,Swordspoint,Ellen Kushner,Gay Fantasy,No,Yes,English,329,Boston,Yes,!,Yes,Yes,No,"October 21, 2023",N/A,N/A,N/A,
4,The Grandmaster Of Demonic Cultivation Vol 4,Mo Xiang Tong Xiu,Danmei,Yes,No,English,319,Boston,No,No,No,No,No,"December 13, 2022","July 16, 2023",215,0.5890410959,
,The Time Traveler's Wife,Audry Niffenegger,Classic,No,Yes,English,531,Boston,Yes,Rec,Yes,Yes,Yes,"November 15, 2020",N/A,N/A,N/A,
1,Amulet Of Samarkand,Johnathan Stroud,Fantasy,Yes,Yes,English,464,Boston,Yes,Yes,Yes,Yes,Yes,"January 1, 2016","January 1, 2016",0,0,
5,Cruel Seduction,Katee Robert,Gay Fantasy,Yes,Yes,English,362,Boston,Yes,Rec,Yes,Yes,Rec,"August 8, 2023","August 15, 2023",7,0.01917808219,
,Python Pocket Guide,Mark Lutz,Coding,Yes,No,English,242,Chicago,No,!,Yes,Yes,No,"December 25, 2019","December 25, 2019",0,0,
0,Bookshops And Bonedust,Travis Baldree,Gay Fantasy,No,Yes,English,322,Boston,Yes,Yes,Yes,Yes,Yes,"November 19, 2023",N/A,N/A,N/A,
2,Song Of Unmaking,Caitlin Brennan,Fantasy,No,No,English,479,Chicago,No,!,Yes,Yes,No,"June 1, 2021",N/A,N/A,N/A,
,The Wager,David Grann,History,No,Yes,English,257,Boston,Yes,Yes,Yes,Yes,Yes,"December 13, 2023",N/A,N/A,N/A,
5,Foundation And Earth,Issac Asimov,Science Fiction,No,Yes,English,411,Boston,Yes,Rec,Yes,Yes,!,"October 5, 2022",N/A,N/A,N/A,
1,Captive Prince,C.S. Pacat,Gay Fantasy,Yes,Yes,English,270,Boston,Yes!,!,Yes,Yes,No,"July 3, 2022","December 8, 2022",158,0.4328767123,
1,The City Of Brass,S.A. Chakraborty,Fantasy,No,Yes,English,526,Boston,Yes,Rec,Yes,Yes,Rec,"May 29, 2022",N/A,N/A,N/A,
,Land Of Big Numbers,Te-Ping Chen,Fiction,No,Yes,English,233,Boston,Yes,Rec,Yes,Yes,Rec,"February 25, 2023",N/A,N/A,N/A,
,Will My Cat Eat My Eyeballs?,Caitlin Doughty,Death,Yes,Yes,English,204,Chicago,Yes,Rec,Yes,Yes,Yes,"November 15, 2019","February 19, 2020",96,0.2630136986,
,A Furious Sky,Eric Jay Dolon,History,Yes,Yes,English,305,Chicago,Yes,Rec,Yes,!,Yes,"December 1, 2021","January 13, 2022",43,0.1178082192,
,From Here to Eternity,Caitlin Doughty,Death,Yes,Yes,English,236,Chicago,Yes!,Rec,Yes,!,Yes,"July 20, 2019",,-43666,-119.6328767,
1,The Traitor Baru Cormorant,Seth Dickinson,Gay Science Fiction,No,Yes,English,399,Boston,Yes,Rec,Yes,Yes,Rec,"July 31, 2023",N/A,N/A,N/A,
6,The Dispossessed,Ursula K. Le Guin,Fantasy,No,Yes,English,387,Chicago,Yes,Rec,Yes,Yes,!,"May 5, 2021",N/A,N/A,N/A,
,Convenience Store Woman,Sayaka Murata,Fiction,Yes,Yes,English,172,Boston,Yes!,Rec,Yes,Yes,Yes,"August 4, 2022","August 9, 2022",5,0.01369863014,
,The Water Kingdom,Philip Ball,China,No,Yes,English,314,Chicago,Yes!,Rec,Rec,Yes,!,"March 3, 2022",N/A,N/A,N/A,
,The Diligent,Robert Harms,History,No,No,English,496,Chicago,No,No,No,No,No,"October 15, 2020",N/A,N/A,N/A,
1,The Killing Moon,N.K. Jemisin,Fantasy,No,Yes,English,404,Boston,Yes,No,No,No,No,"June 7, 2022",N/A,N/A,N/A,
